ID,Name,Acronym,YearsListed,dblp_venue,mta_class
922,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS;ICMAS;Adaptive Agents and Multi-Agents Systems;Adaptive Agents and Multi-Agent Systems,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/icmas;conf/ifaamas;conf/aamas;conf/atal,3
196,Association for Computational Linguistics,ACL;ACL/IJCNLP,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/acl,6
37,ACM Multimedia,ACMMM;ACM Multimedia,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/mm,6
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/asplos,6
12,ACM Conference on Computer and Communications Security,CCS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/ccs,6
604,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/cvpr,6
745,IEEE Symposium on Foundations of Computer Science,FOCS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/focs,3
1386,International Symposium on High Performance Computer Architecture,HPCA,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/hpca,6
2074,IEEE International Conference on Computer Communications,INFOCOM,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/infocom,6
32,ACM International Symposium on Computer Architecture,ISCA,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/isca,6
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/kdd,6
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/mobicom,6
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sensys,6
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sigcomm,6
29,ACM International Conference on Research and Development in Information Retrieval,SIGIR,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sigir,6
56,ACM Special Interest Group on Management of Data Conference,SIGMOD;SIGMOD/PODS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sigmod,6
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sosp,6
750,IEEE Symposium on Security and Privacy,SP;S&P;IEEE Symposium on Security and Privacy,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sp,6
65,ACM Symposium on Theory of Computing,STOC,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/stoc,3
1841,Usenix Security Symposium,USENIX-Security;USENIX Security Symposium,"CORE2008_B, ERA2010_A, CORE2013_A, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/uss,6
